Name elven~
Words saalah weapon 
Words thaaleh battle 
Words beulaern treasure 
Words faeerban magician 
Words faarn magical 
Words faar magic 
Words aenfin meeting 
Words abbinaa friend 
Words altrun strenght 
Words velkiin darkness 
Name common~
Words Gaia Thera 
Words Drakanna Takhisis 
Words Drakan Airius 
Words ilde magic 
Words shulamushula attractive 
Words sleta slime 
Words suvvt soft 
Words shulamushula sexy 
Words shanan cleric 
Words serreck head 
Words sutta war 
Words grauul might 
Words gurrt arm 
Words grauul strenght 
Words guatch weak 
Words aruken avian 
Words aan human 
Words aark want 
Words a was 
Words aword untransed 
Words ayn us 
Words aug ory 
Words daah attack 
Words drakon dragon 
Words leucth murder 
Words lierakla sword 
Words leanna horny 
Words lecutta thief 
Words lutteah gnoll 
Words lierakla blade 
Words lauck leg 
Words Words trust 
Words Words love 
Words karnaloghtch shit 
Words kallak have 
Words kallak own 
Words karnaloghtch dung 
Words kkuleh damn 
Words kullek tribe 
Words kallak take 
Words kullek group 
Words kallak give 
Words kellat lust 
Words kallak posess 
Words kullek pack 
Words ka fight 
Words chaach meat 
Words cullek with 
Words crruta torso 
Words chaa gnome 
Words catich bitch 
Words crruta body 
Words chaach food 
Words chaaug victory 
Words chaach eat 
Words tkkula armor 
Words ta she 
Words ta he 
Words tsittsa weapon 
Words ta that 
Words tauk them 
Words tilkk flea 
Words tchakl fool 
Words th er 
Words utta hand 
Words uh will 
Words utta foot 
Words ugn ea 
Words ra me 
Words rauuh good 
Words ralak battle 
Words rau yes 
Words hieda snout 
Words hy you 
Words nilgitch spit 
Words nakkad curse 
Words nugnukkaah orgasm 
Words nugnukkaah pleasure 
Words nugnukkaah joy 
Words nug no 
Words errma mage 
Words ellueh orc 
Words et is 
Name kender~
Words Gaia Thera 
Words Drakanna Takhisis 
Words Drakan Airius 
Words ilde magic 
Words shulamushula attractive 
Words sleta slime 
Words suvvt soft 
Words shulamushula sexy 
Words shanan cleric 
Words serreck head 
Words sutta war 
Words grauul might 
Words gurrt arm 
Words grauul strenght 
Words guatch weak 
Words daah attack 
Words drakon dragon 
Words leucth murder 
Words lierakla sword 
Words leanna horny 
Words lecutta thief 
Words lutteah gnoll 
Words lierakla blade 
Words lauck leg 
Words Words trust 
Words Words love 
Words karnaloghtch shit 
Words kallak have 
Words karnaloghtch dung 
Words kkuleh damn 
Words kullek tribe 
Words kallak take 
Words kullek group 
Words kallak give 
Words kellat lust 
Words kallak posess 
Words kullek pack 
Words kallak own 
Words ka fight 
Words chaach meat 
Words cullek with 
Words crruta torso 
Words chaa gnome 
Words catich bitch 
Words crruta body 
Words chaach food 
Words chaaug victory 
Words chaach eat 
Words tkkula armor 
Words ta she 
Words ta he 
Words tsittsa weapon 
Words ta that 
Words tauk them 
Words tilkk flea 
Words tchakl fool 
Words th er 
Words utta hand 
Words uh will 
Words utta foot 
Words ugn ea 
Words ra me 
Words rauuh good 
Words ralak battle 
Words rau yes 
Words hieda snout 
Words hy you 
Words nilgitch spit 
Words nakkad curse 
Words nugnukkaah pleasure 
Words nugnukkaah orgasm 
Words nugnukkaah joy 
Words nug no 
Words aruken avian 
Words aan human 
Words aark want 
Words a was 
Words aug ory 
Words ayn us 
Words errma mage 
Words ellueh orc 
Words et is 
Name human~
Name dwarven~
Name halfling~
Name drow~
Words olist caution 
Words oloth darkness 
Words ogglin rival 
Words ol al 
Words orthae holy 
